Slide_number,AC_ID,Series_panel,PT_ID,Block_ID,MCD_name,ROI_name,Tissue
S0765,a1,TUNEL,APP_3,APP_3,S0765_LMontorsi-Appendix_IV,S0765_LMontorsi-Appendix_IV_ROI_001_APP_3_ROI_I_x39000_y19286_w757_h753_1,APPENDIX
S0765,a2,TUNEL,APP_5,APP_5,S0765_LMontorsi-Appendix_IV,S0765_LMontorsi-Appendix_IV_ROI_002_APP_5_ROI_I_x12908_y11258_w1080_h758_2,APPENDIX
S0765,a3,TUNEL,APP_5,APP_5,S0765_LMontorsi-Appendix_IV,S0765_LMontorsi-Appendix_IV_ROI_003_APP_5_ROI_II_x11341_y11084_w1554_h926_3,APPENDIX
S0765,a4,TUNEL,APP_5,APP_5,S0765_LMontorsi-Appendix_IV,S0765_LMontorsi-Appendix_IV_ROI_004_APP_5_ROI_III_x11761_y17010_w774_h899_4,APPENDIX
S0767,a1,TUNEL,PT3,PT3_G,S0767_LMontorsi-Ileums,S0767_LMontorsi-Ileums_ROI_001_ILF III_ROI_I_x13092_y9334_w1649_h1319_1,ILEUM
S0767,a5,TUNEL,PT1,PT1_G,S0767_LMontorsi-Ileums,S0767_LMontorsi-Ileums_ROI_002_ILF II_ROI_II_x33873_y8452_w813_h794_5,ILEUM
S0767,a4,TUNEL,PT1,PT1_G,S0767_LMontorsi-Ileums,S0767_LMontorsi-Ileums_ROI_003_ILF II_ROI_I_x35909_y8959_w630_h928_4,ILEUM
S0767,a2,TUNEL,PT2,PT2_C,S0767_LMontorsi-Ileums,S0767_LMontorsi-Ileums_ROI_004_ILF I_ROI_I_x48749_y15585_w1085_h956_2,ILEUM
S0767,a3,TUNEL,PT2,PT2_C,S0767_LMontorsi-Ileums,S0767_LMontorsi-Ileums_ROI_005_ILF I_ROI_II_x50529_y14675_w1252_h1287_3,ILEUM
S0768,a5,TUNEL,PT3,PT3_N,S0768_LMontorsi-Visium_I,S0768_LMontorsi-Visium_I_I_ILF_ROI_I_x44905_y13961_w1127_h1164_5,COLON
S0768,a6,TUNEL,PT3,PT3_N,S0768_LMontorsi-Visium_I,S0768_LMontorsi-Visium_I_I_ILF_ROI_II_x42210_y12100_w835_h932_6,COLON
S0768,a7,TUNEL,PT3,PT3_N,S0768_LMontorsi-Visium_I,S0768_LMontorsi-Visium_I_I_ILF_ROI_III_x46683_y10650_w1191_h691_7,COLON
S0768,a4,TUNEL,PT1,PT1_D,S0768_LMontorsi-Visium_I,S0768_LMontorsi-Visium_I_II_ILF_ROI_I_x20663_y13880_w1211_h1056_4,APPENDIX
S0768,a2,TUNEL,PT1,PT1_K,S0768_LMontorsi-Visium_I,S0768_LMontorsi-Visium_I_III_ILF_ROI_I_x10302_y14140_w1157_h1040_2,COLON
S0768,a1,TUNEL,PT1,PT1_K,S0768_LMontorsi-Visium_I,S0768_LMontorsi-Visium_I_III_ILF_ROI_II_x11006_y17410_w1238_h1175_1,COLON
S0768,a3,TUNEL,PT1,PT1_K,S0768_LMontorsi-Visium_I,S0768_LMontorsi-Visium_I_III_ILF_ROI_III_x10535_y16105_w692_h707_3,COLON